Sample,Dataset,Site,Species,Clone,Sun_Shade,Phenological_stage,Photosynthetic_pathway,Plant_type,Soil,Leaf area,Leaf weight,LMA,Nconc_percent,Parea,Pmass,LWC,Narea,Nmass
POA_B5_P3_110412,Paudel_et_al,POA,"P. deltoides × P. deltoides, Taxa - D×D ",110412,Sun,Young,C3,Agricultural,Managed,123.82,1.1461,92.56178323,2.617545732,NA,NA,NA,2.422847006,26.175457
POA_B5_P5_8717,Paudel_et_al,POA,"P.deltoides × P. trichocarpa, Taxa - D×T",8717,Sun,Young,C3,Agricultural,Managed,116.91,1.1948,102.1982722,2.322660054,NA,NA,NA,2.373718444,23.226601
POA_B5_P6_9671,Paudel_et_al,POA,"Populus deltoides × Populus maximowiczii, Taxa - D×M",9671,Sun,Young,C3,Agricultural,Managed,180.85,1.6547,91.49571468,2.562228601,NA,NA,NA,2.34432937,25.622286
POA_B5_P7_S7C8,Paudel_et_al,POA,"P. deltoides × P. deltoides, Taxa - D×D ",S7C8,Sun,Young,C3,Agricultural,Managed,192.73,1.9484,101.0947958,2.449018457,NA,NA,NA,2.475830208,24.490185
POA_B5_P10_7903,Paudel_et_al,POA,"P.deltoides × P. trichocarpa, Taxa - D×T",7903,Sun,Young,C3,Agricultural,Managed,216.87,1.9114,88.13574953,2.491037805,NA,NA,NA,2.195494841,24.910378
POA_B5_P12_9709,Paudel_et_al,POA,"Populus deltoides × Populus maximowiczii, Taxa - D×M",9709,Sun,Young,C3,Agricultural,Managed,277.41,2.3989,86.47489276,2.636201131,NA,NA,NA,2.279652101,26.362011
POA_B5_P15_7903,Paudel_et_al,POA,"P.deltoides × P. trichocarpa, Taxa - D×T",7903,Sun,Young,C3,Agricultural,Managed,222.26,1.9171,86.25483668,2.291304522,NA,NA,NA,1.976360973,22.913045
POA_B5_P16_110412,Paudel_et_al,POA,"P. deltoides × P. deltoides, Taxa - D×D ",110412,Sun,Young,C3,Agricultural,Managed,279.46,2.2252,79.62499105,2.359102937,NA,NA,NA,1.878435502,23.591029
POA_B5_P17_S7C8,Paudel_et_al,POA,"P. deltoides × P. deltoides, Taxa - D×D ",S7C8,Sun,Young,C3,Agricultural,Managed,229.2,1.6798,73.28970332,2.358225124,NA,NA,NA,1.728336197,23.582251
POA_B5_P19_9709,Paudel_et_al,POA,"Populus deltoides × Populus maximowiczii, Taxa - D×M",9709,Sun,Young,C3,Agricultural,Managed,207.11,1.396,67.40379508,2.578484938,NA,NA,NA,1.737996704,25.784849
POA_B5_P20_9671,Paudel_et_al,POA,"Populus deltoides × Populus maximowiczii, Taxa - D×M",9671,Sun,Young,C3,Agricultural,Managed,308.33,2.1716,70.43103169,2.74186432,NA,NA,NA,1.931123328,27.418643
POA_B5_P21_8717,Paudel_et_al,POA,,8717,Sun,Young,C3,Agricultural,Managed,247.4,2.0619,83.34276475,2.187949992,NA,NA,NA,1.823498015,21.8795
