Sample,Observation,A,Ci,Tleaf,Qin,Patm
DFA_B1_P23_7903,0+156,10.89924123,155.0706396,30.06245613,1499.127441,100.713501
DFA_B1_P23_7903,0+157,1.835840359,90.50643405,30.05586624,1499.44458,100.7079391
DFA_B1_P23_7903,0+158,1.1487856,84.05865268,30.03894234,1498.706787,100.7070084
DFA_B1_P23_7903,0+159,21.75957387,312.938499,30.03362274,1499.912476,100.7089233
DFA_B1_P23_7903,0+160,22.29479738,309.3292379,30.04178619,1499.62915,100.715004
DFA_B1_P23_7903,0+161,29.87587472,473.7357325,30.04663277,1500.126587,100.7135925
DFA_B1_P23_7903,0+162,33.88828164,651.694559,30.04182625,1500.097656,100.7064362
DFA_B3_P1_8717,0+163,17.27303017,310.8766314,29.91042709,1500.463745,100.7310944
DFA_B3_P1_8717,0+164,11.84397392,251.4085586,28.19589615,1499.386963,100.7351685
DFA_B3_P1_8717,0+165,9.47415194,159.4864302,28.63856888,1499.500122,100.7419357
DFA_B3_P1_8717,0+166,1.399178558,92.08784563,27.82256508,1499.503784,100.7488785
DFA_B3_P1_8717,0+167,0.679841738,81.83986377,29.0944252,1499.148071,100.7551651
DFA_B3_P1_8717,0+168,15.45581679,328.8177089,27.82060051,1499.904663,100.7625046
DFA_B3_P1_8717,0+169,16.74113807,321.906773,27.8837204,1499.26062,100.7689667
DFA_B3_P1_8717,0+170,23.12574463,481.3927938,27.81672668,1499.396606,100.7745438
DFA_B3_P1_8717,0+171,26.84231351,596.3453379,30.37660027,1499.089111,100.7804489
DFA_B3_P4_7903,0+172,23.23392665,313.5731926,28.28627777,1499.419189,100.7887039
DFA_B3_P4_7903,0+173,20.73216277,227.62419,27.97092628,1500.112915,100.7917633
DFA_B3_P4_7903,0+174,10.55782824,161.5981297,27.95659447,1500.792236,100.7975235
DFA_B3_P4_7903,0+175,4.001003547,86.69470184,28.13844299,1500.308716,100.8037033
DFA_B3_P4_7903,0+176,2.008349934,76.54588085,28.5365963,1499.282837,100.8102722
DFA_B3_P4_7903,0+177,21.60403818,324.4145241,28.41251564,1498.944702,100.8119659
DFA_B3_P4_7903,0+178,23.79719094,312.1923946,29.15604973,1499.969482,100.8153763
DFA_B3_P4_7903,0+179,30.10236541,470.2262734,30.06787109,1500.278198,100.8193665
DFA_B3_P4_7903,0+180,31.07879698,692.4853923,28.01000595,1500.772339,100.8264618
DFA_B3_P5_9671,0+181,16.58981326,330.3570513,29.71035194,1498.801147,100.8318024
DFA_B3_P5_9671,0+182,15.57643613,245.8492893,28.38932991,1498.714722,100.8302841
DFA_B3_P5_9671,0+183,7.546397335,172.2027818,28.23693848,1499.445435,100.8363266
DFA_B3_P5_9671,0+184,1.179715863,93.85769252,29.04465866,1498.564331,100.8420105
DFA_B3_P5_9671,0+185,-0.168069685,82.46418214,29.83655548,1499.228149,100.8465118
DFA_B3_P5_9671,0+186,18.11230077,328.9725809,28.67110634,1500.014404,100.8461761
DFA_B3_P5_9671,0+187,18.51998044,324.9333013,28.52369881,1500.215698,100.8389282
DFA_B3_P5_9671,0+188,26.58986885,469.7392684,29.9953537,1499.793091,100.8317566
DFA_B3_P5_9671,0+189,31.76889007,645.1890449,30.00522614,1498.791626,100.8306122
